City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,stanley,54.868,-1.6985,-1.51,100,0,0.51,GB,1701513580
112,sao paulo de olivenca,-3.3783,-68.8725,22.85,99,100,0.79,BR,1701513581
113,kristiansund,63.1115,7.732,-3.64,86,75,2.06,NO,1701513582
114,afaahiti,-17.75,-149.2833,26.93,85,22,7.97,PF,1701513583
115,constantia,44.1833,28.65,19.28,72,14,6.77,RO,1701513584
116,callao,-12.0667,-77.15,20.4,88,100,2.06,PE,1701513585
117,sao francisco,-15.9486,-44.8644,30.47,40,90,1.47,BR,1701513585
118,kayangel,8.0823,134.7173,28.98,77,57,7.64,PW,1701513586
119,carlos chagas,-17.7031,-40.7664,27.95,54,100,1.0,BR,1701513587
120,pangai,-19.8,-174.35,26.31,84,6,7.51,TO,1701513588
121,kapoeta,4.7717,33.5903,35.54,24,72,5.41,SS,1701513589
122,geraldton,-28.7667,114.6,22.23,73,2,7.2,AU,1701513590
123,chibougamau,49.9168,-74.3659,-22.21,77,0,0.0,CA,1701513591
124,basoko,1.2391,23.616,30.79,54,84,1.84,CD,1701513591
125,oriximina,-1.7656,-55.8661,26.27,76,92,1.7,BR,1701513592
126,burutu,5.3509,5.5076,30.87,63,92,2.02,NG,1701513593
127,avarua,-21.2078,-159.775,24.03,83,75,3.6,CK,1701513594
128,uruzgan,32.8333,66.0,13.24,26,79,1.87,AF,1701513595
129,pangody,65.85,74.4859,-15.56,95,94,5.29,RU,1701513596
130,valparaiso,-33.0393,-71.6273,10.8,87,0,0.0,CL,1701513597
131,port macquarie,-31.4333,152.9167,20.5,89,91,1.4,AU,1701513414
132,west island,-12.1568,96.8225,27.99,69,42,5.66,CC,1701513598
133,dunedin,-45.8742,170.5036,13.22,89,99,0.45,NZ,1701513599
134,hervey bay,-25.2986,152.8535,24.93,88,100,6.23,AU,1701513600
135,port alfred,-33.5906,26.891,22.32,73,100,2.68,ZA,1701513601
136,minas de marcona,-15.2119,-75.1103,13.85,88,53,5.02,PE,1701513602
137,arraial do cabo,-22.9661,-42.0278,25.98,83,40,2.57,BR,1701513603
138,belmonte,-15.8631,-38.8828,26.8,72,97,4.6,BR,1701513604
139,labis,2.385,103.021,25.09,93,90,0.97,MY,1701513605
140,vejle,55.7093,9.5357,-4.58,84,23,1.79,DK,1701513606
141,aykhal,66.0,111.5,-33.35,100,100,2.55,RU,1701513606
142,paita,-5.0892,-81.1144,19.77,86,43,4.77,PE,1701513607
143,acajutla,13.5928,-89.8275,25.62,79,27,2.08,SV,1701513608
144,jutai,-5.1833,-68.9,22.72,100,99,0.51,BR,1701513609
145,saipan,15.1355,145.701,28.39,78,40,8.75,MP,1701513610
146,sabang,5.8933,95.3214,26.84,81,99,4.88,ID,1701513611
147,newman,37.3138,-121.0208,8.99,83,57,1.32,US,1701513611
148,katabu,-4.9333,122.5167,25.6,89,92,1.81,ID,1701513612
149,richards bay,-28.783,32.0377,31.88,39,0,6.81,ZA,1701513613
150,olonkinbyen,70.9221,-8.7187,-1.67,65,57,5.71,SJ,1701513614
151,malabar,-33.9667,151.25,20.63,76,75,11.83,AU,1701513615
152,benguela,-12.5763,13.4055,28.34,70,72,6.0,AO,1701513616
153,castel madama,41.9735,12.8685,15.48,51,91,6.61,IT,1701513617
154,huatabampo,26.8333,-109.6333,15.72,68,0,3.96,MX,1701513354
155,bilibino,68.0546,166.4372,-26.46,97,81,1.48,RU,1701513619
156,ciudad lazaro cardenas,17.9583,-102.2,25.15,73,98,1.46,MX,1701513620
157,tyuratam,45.6507,63.3156,9.94,35,97,4.33,KZ,1701513621
158,mtsensk,53.2766,36.5733,-8.46,95,100,2.02,RU,1701513622
159,villa gesell,-37.2639,-56.973,18.36,84,0,0.88,AR,1701513623
160,fortuna,40.5982,-124.1573,9.96,94,100,5.66,US,1701513623
161,hasaki,35.7333,140.8333,9.22,53,11,4.31,JP,1701513624
162,saldanha,-33.0117,17.9442,24.03,72,36,7.26,ZA,1701513625
163,cody,44.5263,-109.0565,-0.88,64,0,5.14,US,1701513626
164,oranjemund,-28.55,16.4333,20.87,64,6,8.36,NA,1701513627
165,remire-montjoly,4.9167,-52.2667,23.02,100,0,0.0,GF,1701513628
166,albion,42.2431,-84.753,4.45,96,100,1.54,US,1701513508
167,tralee,52.2704,-9.7026,0.14,100,75,1.03,IE,1701513617
168,polyarnyy,69.1989,33.4478,-10.14,96,94,1.99,RU,1701513630
169,puerto ayora,-0.7393,-90.3518,24.19,94,97,3.58,EC,1701513631
170,whitehorse,60.7161,-135.0538,-10.57,92,100,3.09,CA,1701513358
171,sebastian,35.1668,-94.2669,6.33,95,94,0.86,US,1701513633
172,vila velha,-20.3297,-40.2925,23.97,90,100,2.06,BR,1701513473
173,st. john's,47.5649,-52.7093,5.54,96,75,4.63,CA,1701513635
174,harstad,68.799,16.5293,-1.32,84,98,0.89,NO,1701513635
175,lompoc,34.6391,-120.4579,9.96,70,0,5.36,US,1701513636
176,roxas,11.5853,122.7511,26.19,89,53,7.35,PH,1701513637
177,marsala,37.7966,12.4352,19.97,73,40,6.69,IT,1701513639
178,alta,69.9689,23.2717,-13.41,78,20,2.06,NO,1701513640
179,ain sukhna,29.6002,32.3167,22.92,54,6,3.73,EG,1701513640
180,invercargill,-46.4,168.35,11.07,96,100,0.61,NZ,1701513641
181,martapura,-3.4167,114.85,29.05,84,40,1.54,ID,1701513642
182,muli,2.9167,73.5667,28.31,75,31,5.66,MV,1701513643
183,torres,-29.3353,-49.7269,30.46,89,100,0.48,BR,1701513644
184,colonia,50.9333,6.95,0.54,69,100,2.57,DE,1701513645
185,ad dawadimi,24.5077,44.3924,26.64,22,0,3.12,SA,1701513646
186,lagoa,39.05,-27.9833,15.7,72,100,10.93,PT,1701513646
